Sistema,Usuario,CPU (%),Memoria (%),Espacio en disco (GB),Espacio libre (GB),Porcentaje ocupado (%)
Windows 11,Patroclo,279.00,66.93,947.00,205.00,78.35
Windows 11,Patroclo,121.00,66.86,947.00,205.00,78.35
Windows 11,Patroclo,91.00,66.88,947.00,205.00,78.35
Windows 11,Patroclo,207.00,67.20,947.00,205.00,78.35
Windows 11,Patroclo,578.00,67.34,947.00,205.00,78.35
Windows 11,Patroclo,242.00,67.10,947.00,205.00,78.35
Windows 11,Patroclo,169.00,67.24,947.00,205.00,78.35
Windows 11,Patroclo,65.00,67.07,947.00,205.00,78.35
Windows 11,Patroclo,200.00,67.11,947.00,205.00,78.35
Windows 11,Patroclo,66.00,67.16,947.00,205.00,78.35
Windows 11,Patroclo,28.00,67.11,947.00,205.00,78.35
Windows 11,Patroclo,38.00,67.10,947.00,205.00,78.35
Windows 11,Patroclo,19.00,67.08,947.00,205.00,78.35
Windows 11,Patroclo,208.00,67.05,947.00,205.00,78.35
Windows 11,Patroclo,95.00,66.91,947.00,205.00,78.35
Windows 11,Patroclo,205.00,66.91,947.00,205.00,78.35
Windows 11,Patroclo,208.00,66.92,947.00,205.00,78.35
Windows 11,Patroclo,291.00,66.92,947.00,205.00,78.35
Windows 11,Patroclo,37.00,66.70,947.00,205.00,78.35
Windows 11,Patroclo,131.00,68.14,947.00,205.00,78.35
Windows 11,Patroclo,94.00,68.12,947.00,205.00,78.35
Windows 11,Patroclo,151.00,68.17,947.00,205.00,78.35
Windows 11,Patroclo,315.00,68.20,947.00,205.00,78.35
Windows 11,Patroclo,314.00,68.28,947.00,205.00,78.35
Windows 11,Patroclo,502.00,68.76,947.00,205.00,78.35
Windows 11,Patroclo,273.00,68.78,947.00,205.00,78.35
Windows 11,Patroclo,308.00,68.75,947.00,205.00,78.35
Windows 11,Patroclo,133.00,68.71,947.00,205.00,78.35
Windows 11,Patroclo,105.00,68.75,947.00,205.00,78.35
Windows 11,Patroclo,345.00,68.85,947.00,205.00,78.35
Windows 11,Patroclo,133.00,68.90,947.00,205.00,78.35
Windows 11,Patroclo,105.00,68.76,947.00,205.00,78.35
Windows 11,Patroclo,196.00,68.42,947.00,205.00,78.35
Windows 11,Patroclo,573.00,68.62,947.00,205.00,78.35
Windows 11,Patroclo,143.00,68.61,947.00,205.00,78.35
Windows 11,Patroclo,75.00,68.61,947.00,205.00,78.35
Windows 11,Patroclo,82.00,68.47,947.00,205.00,78.35
Windows 11,Patroclo,479.00,68.92,947.00,205.00,78.35
Windows 11,Patroclo,47.00,68.97,947.00,205.00,78.35
Windows 11,Patroclo,56.00,69.03,947.00,205.00,78.35
Windows 11,Patroclo,187.00,69.13,947.00,205.00,78.35
Windows 11,Patroclo,567.00,69.66,947.00,205.00,78.35
Windows 11,Patroclo,370.00,69.81,947.00,205.00,78.35
Windows 11,Patroclo,152.00,69.77,947.00,205.00,78.35
Windows 11,Patroclo,38.00,70.07,947.00,205.00,78.35
Windows 11,Patroclo,76.00,70.06,947.00,205.00,78.35
Windows 11,Patroclo,93.00,69.91,947.00,205.00,78.35
Windows 11,Patroclo,176.00,70.01,947.00,205.00,78.35
Windows 11,Patroclo,48.00,70.05,947.00,205.00,78.35
Windows 11,Patroclo,294.00,70.07,947.00,205.00,78.35
Windows 11,Patroclo,295.00,71.47,947.00,205.00,78.35
Windows 11,Patroclo,114.00,71.46,947.00,205.00,78.35
Windows 11,Patroclo,93.00,71.43,947.00,205.00,78.35
Windows 11,Patroclo,139.00,71.46,947.00,205.00,78.35
Windows 11,Patroclo,83.00,71.44,947.00,205.00,78.35
Windows 11,Patroclo,83.00,71.47,947.00,205.00,78.35
Windows 11,Patroclo,48.00,71.49,947.00,205.00,78.35
Windows 11,Patroclo,48.00,71.49,947.00,205.00,78.35
Windows 11,Patroclo,356.00,71.51,947.00,205.00,78.35
Windows 11,Patroclo,597.00,72.12,947.00,205.00,78.35
Windows 11,Patroclo,440.00,72.93,947.00,205.00,78.35
Windows 11,Patroclo,414.00,72.95,947.00,205.00,78.35
Windows 11,Patroclo,190.00,73.03,947.00,205.00,78.35
Windows 11,Patroclo,218.00,72.52,947.00,205.00,78.35
Windows 11,Patroclo,47.00,72.51,947.00,205.00,78.35
Windows 11,Patroclo,134.00,72.99,947.00,205.00,78.35
Windows 11,Patroclo,308.00,72.69,947.00,205.00,78.35
Windows 11,Patroclo,19.00,72.60,947.00,205.00,78.35
Windows 11,Patroclo,10.00,72.59,947.00,205.00,78.35
Windows 11,Patroclo,862.00,72.57,947.00,205.00,78.35
Windows 11,Patroclo,84.00,72.61,947.00,205.00,78.35
Windows 11,Patroclo,38.00,72.52,947.00,205.00,78.35
Windows 11,Patroclo,105.00,70.03,947.00,205.00,78.35
Windows 11,Patroclo,169.00,70.10,947.00,205.00,78.35
Windows 11,Patroclo,104.00,70.08,947.00,205.00,78.35
Windows 11,Patroclo,48.00,70.05,947.00,205.00,78.35
Windows 11,Patroclo,66.00,69.93,947.00,205.00,78.35
Windows 11,Patroclo,320.00,70.03,947.00,205.00,78.35
Windows 11,Patroclo,273.00,70.42,947.00,205.00,78.35
Windows 11,Patroclo,161.00,70.15,947.00,205.00,78.35
Windows 11,Patroclo,664.00,70.17,947.00,205.00,78.35
Windows 11,Patroclo,131.00,70.12,947.00,205.00,78.35
Windows 11,Patroclo,85.00,69.98,947.00,205.00,78.35
Windows 11,Patroclo,161.00,69.96,947.00,205.00,78.35
Windows 11,Patroclo,142.00,69.91,947.00,205.00,78.35
Windows 11,Patroclo,19.00,69.93,947.00,205.00,78.35
Windows 11,Patroclo,75.00,69.96,947.00,205.00,78.35
Windows 11,Patroclo,245.00,69.99,947.00,205.00,78.35
Windows 11,Patroclo,161.00,69.99,947.00,205.00,78.35
Windows 11,Patroclo,19.00,69.29,947.00,205.00,78.35
Windows 11,Patroclo,9.00,69.31,947.00,205.00,78.35
Windows 11,Patroclo,65.00,69.29,947.00,205.00,78.35
Windows 11,Patroclo,29.00,69.30,947.00,205.00,78.35
Windows 11,Patroclo,47.00,69.36,947.00,205.00,78.35
Windows 11,Patroclo,627.00,69.52,947.00,205.00,78.35
Windows 11,Patroclo,85.00,69.54,947.00,205.00,78.35
Windows 11,Patroclo,142.00,69.41,947.00,205.00,78.35
Windows 11,Patroclo,566.00,70.10,947.00,205.00,78.35
Windows 11,Patroclo,124.00,69.84,947.00,205.00,78.35
Windows 11,Patroclo,304.00,70.49,947.00,205.00,78.35
Windows 11,Patroclo,148.00,70.20,947.00,205.00,78.35
Windows 11,Patroclo,301.00,70.27,947.00,205.00,78.35
Windows 11,Patroclo,265.00,70.36,947.00,205.00,78.35
Windows 11,Patroclo,428.00,70.52,947.00,205.00,78.35
Windows 11,Patroclo,523.00,71.06,947.00,205.00,78.35
Windows 11,Patroclo,304.00,70.82,947.00,205.00,78.35
Windows 11,Patroclo,258.00,70.42,947.00,205.00,78.35
Windows 11,Patroclo,151.00,70.46,947.00,205.00,78.35
Windows 11,Patroclo,93.00,70.44,947.00,205.00,78.35
Windows 11,Patroclo,56.00,70.40,947.00,205.00,78.35
Windows 11,Patroclo,47.00,69.51,947.00,205.00,78.35
Windows 11,Patroclo,347.00,69.71,947.00,205.00,78.35
Windows 11,Patroclo,215.00,69.45,947.00,205.00,78.35
Windows 11,Patroclo,207.00,69.49,947.00,205.00,78.35
Windows 11,Patroclo,342.00,69.43,947.00,205.00,78.35
Windows 11,Patroclo,326.00,69.54,947.00,205.00,78.35
Windows 11,Patroclo,215.00,69.54,947.00,205.00,78.35
Windows 11,Patroclo,48.00,69.34,947.00,205.00,78.35
Windows 11,Patroclo,56.00,69.33,947.00,205.00,78.35
Windows 11,Patroclo,75.00,69.51,947.00,205.00,78.35
Windows 11,Patroclo,73.00,69.54,947.00,205.00,78.35
Windows 11,Patroclo,158.00,69.54,947.00,205.00,78.35
Windows 11,Patroclo,0.00,69.48,947.00,205.00,78.35
Windows 11,Patroclo,75.00,68.60,947.00,205.00,78.35
Windows 11,Patroclo,65.00,68.60,947.00,205.00,78.35
Windows 11,Patroclo,177.00,68.68,947.00,205.00,78.35
Windows 11,Patroclo,76.00,68.69,947.00,205.00,78.35
Windows 11,Patroclo,76.00,68.69,947.00,205.00,78.35
Windows 11,Patroclo,104.00,68.69,947.00,205.00,78.35
Windows 11,Patroclo,572.00,69.06,947.00,205.00,78.35
Windows 11,Patroclo,29.00,69.28,947.00,205.00,78.35
Windows 11,Patroclo,404.00,69.50,947.00,205.00,78.35
Windows 11,Patroclo,38.00,69.51,947.00,205.00,78.35
Windows 11,Patroclo,320.00,70.04,947.00,205.00,78.35
Windows 11,Patroclo,76.00,69.65,947.00,205.00,78.35
Windows 11,Patroclo,326.00,69.85,947.00,205.00,78.35
Windows 11,Patroclo,58.00,69.84,947.00,205.00,78.35
Windows 11,Patroclo,143.00,69.72,947.00,205.00,78.35
Windows 11,Patroclo,422.00,69.91,947.00,205.00,78.35
Windows 11,Patroclo,188.00,69.90,947.00,205.00,78.35
Windows 11,Patroclo,114.00,69.84,947.00,205.00,78.35
Windows 11,Patroclo,219.00,69.77,947.00,205.00,78.35
Windows 11,Patroclo,124.00,69.75,947.00,205.00,78.35
Windows 11,Patroclo,125.00,69.87,947.00,205.00,78.35
Windows 11,Patroclo,631.00,70.06,947.00,205.00,78.35
Windows 11,Patroclo,349.00,70.44,947.00,205.00,78.35
Windows 11,Patroclo,143.00,70.04,947.00,205.00,78.35
Windows 11,Patroclo,66.00,69.64,947.00,205.00,78.35
Windows 11,Patroclo,228.00,69.74,947.00,205.00,78.35
Windows 11,Patroclo,46.00,69.51,947.00,205.00,78.35
Windows 11,Patroclo,154.00,69.55,947.00,205.00,78.35
Windows 11,Patroclo,266.00,69.56,947.00,205.00,78.35
Windows 11,Patroclo,314.00,69.66,947.00,205.00,78.35
Windows 11,Patroclo,775.00,70.04,947.00,205.00,78.35
Windows 11,Patroclo,226.00,69.96,947.00,205.00,78.35
Windows 11,Patroclo,121.00,70.62,947.00,205.00,78.35
Windows 11,Patroclo,67.00,70.30,947.00,205.00,78.35
Windows 11,Patroclo,122.00,70.53,947.00,205.00,78.35
Windows 11,Patroclo,75.00,70.50,947.00,205.00,78.35
Windows 11,Patroclo,159.00,70.04,947.00,205.00,78.35
