Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Patroclo,0.74,60.26,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.74,60.17,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.72,60.26,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.1,60.31,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.31,60.39,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.49,60.5,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.5,60.54,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.38,60.64,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.59,60.73,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.29,60.8,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.83,60.88,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.91,60.9,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.39,60.95,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.64,60.97,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.16,61.02,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.81,61.31,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.66,61.33,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.54,61.44,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.37,61.49,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.92,61.94,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.79,61.97,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.73,61.96,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.29,61.97,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.22,62.01,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.1,62.01,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.99,62.0,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,61.99,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.77,62.07,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.47,62.14,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.15,62.14,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.46,62.14,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.23,62.14,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.08,62.14,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,6.63,62.13,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.86,62.14,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.85,62.76,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.41,62.57,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.24,62.57,947.0,212.0,77.61,USBX,
