Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Zeben,0.76,52.15,947.0,212.0,77.61,USBX,
Windows 11,Zeben,0.86,51.99,947.0,212.0,77.61,USBX,
Windows 11,Zeben,0.38,52.13,947.0,212.0,77.61,USBX,
Windows 11,Zeben,0.57,52.16,947.0,212.0,77.61,USBX,
Windows 11,Zeben,1.32,52.27,947.0,212.0,77.61,USBX,
Windows 11,Zeben,1.59,52.32,947.0,212.0,77.61,USBX,
Windows 11,Zeben,5.21,52.49,947.0,212.0,77.61,USBX,
Windows 11,Zeben,1.03,52.1,947.0,212.0,77.61,USBX,
Windows 11,Zeben,0.66,51.98,947.0,212.0,77.61,USBX,
Windows 11,Zeben,0.46,52.1,947.0,212.0,77.61,USBX,
Windows 11,Zeben,1.52,52.16,947.0,212.0,77.61,USBX,
Windows 11,Zeben,1.14,52.24,947.0,212.0,77.61,USBX,
Windows 11,Zeben,1.22,66.89,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.95,66.92,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.48,67.0,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.66,66.99,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.56,67.05,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.47,67.12,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.47,67.31,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.37,67.37,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.66,67.37,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.44,66.73,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.08,66.75,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.93,66.78,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.87,66.81,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.36,66.94,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.85,67.01,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.78,66.82,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.58,66.66,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.66,66.74,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.75,66.78,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.31,66.9,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.1,64.28,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.01,64.23,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.81,64.34,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.15,64.38,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.91,64.4,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.43,64.5,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.63,64.86,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.24,64.92,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.68,64.95,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.14,64.96,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,64.96,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.08,64.97,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.32,64.99,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.87,65.02,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.29,65.01,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.39,65.18,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.66,64.79,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.57,64.55,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.37,64.62,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.19,64.64,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.25,64.75,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.56,64.78,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.57,65.08,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.04,65.05,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.97,65.03,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.52,64.99,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.58,65.03,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.57,65.03,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.47,65.03,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.37,65.08,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.58,65.16,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.16,65.06,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.21,65.12,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.0,65.11,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.1,65.09,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.24,65.14,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.47,65.07,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.96,65.14,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.82,65.16,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.77,65.15,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.87,65.03,947.0,213.0,77.51,USBX,
